uniqueID,Booking_Date,predicted
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2024-11-30,0.0
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2024-12-31,0.0
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2025-01-31,0.0
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2025-02-28,0.0
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2024-03-31,308.54255121073146
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2024-04-30,250.53026205708244
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2024-05-31,253.81579191352444
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2024-06-30,321.89001625252706
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2024-07-31,261.2082340905189
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2024-08-31,264.49376394696094
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2024-09-30,335.2374812943227
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2024-10-31,271.8862061239554
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2024-11-30,275.17173598039744
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2024-12-31,348.5849463361183
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2025-01-31,282.5641781573919
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2025-02-28,285.84970801383395
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2024-03-31,1305.134515019905
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2024-04-30,1016.8390431549046
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2024-05-31,992.6003152784428
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2024-06-30,1206.6646830217792
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2024-07-31,938.0631775564038
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2024-08-31,913.8244496799422
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2024-09-30,1108.1948510236534
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2024-10-31,859.2873119579032
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2024-11-30,835.0485840814415
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2024-12-31,1009.7250190255274
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2025-01-31,780.5114463594025
